# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -8151.66  0.89598
 2  -8195.25  0.858549
 3  -8221.7  0.841208
 4  -8182.82  0.829587
 5  -8204.62  0.851676
 6  -8275.4  0.84234
 7  -8195.22  0.839687
 8  -8211.97  0.831039
 9  -8259.82  0.832419
 10  -10195.4  0.603057
 11  -8212.35  0.901055
 12  -8229.74  0.951681
 13  -8226.68  0.999445
 14  -8210.74  1.07917
 15  -8181.27  1.20173
 16  -8252.56  1.39116
# Time unit: 100 ps
