# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -3678.87  1.35143
 2  -3676.25  1.34269
 3  -3680.38  1.23008
 4  -3694.91  1.23197
 5  -3689.86  1.07261
 6  -3681.99  1.02872
 7  -3689.68  0.989628
 8  -3686.68  0.96819
 9  -3684.83  0.914018
 10  -3685.51  0.853542
 11  -3689.09  0.880413
 12  -3685.27  0.88677
 13  -3692.22  0.928986
 14  -3707.21  0.945051
 15  -3689.12  0.948941
 16  -3675.37  0.958384
# Time unit: 100 ps
