# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -8326.54  1.01626
 2  -8298.37  0.948131
 3  -8278.32  0.933964
 4  -8317.27  0.893482
 5  -8313.59  0.904423
 6  -8299.81  0.89412
 7  -8302.28  0.913603
 8  -8283.72  0.896114
 9  -8303.3  0.659115
 10  -8314.88  0.975447
 11  -8300.56  0.970436
 12  -8269.57  0.999851
 13  -8337.19  1.04165
 14  -8294.4  1.14742
 15  -8336.21  1.13645
 16  -8325.68  1.26514
# Time unit: 100 ps
