# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -8171.12  1.09314
 2  -8192.18  1.03925
 3  -8185.58  1.04421
 4  -8160.15  1.01623
 5  -8199.49  0.989563
 6  -8210.12  0.974186
 7  -8180.68  0.98766
 8  -8163.94  1.05482
 9  -8182.64  1.11759
 10  -8164.26  1.14328
 11  -8166.6  1.10988
 12  -8169.62  1.07989
 13  -8157.12  1.15776
 14  -8157.11  1.16573
 15  -8177.53  1.29371
 16  -8196.21  1.41539
# Time unit: 100 ps
