# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -3614.92  1.17363
 2  -3622.87  1.08693
 3  -3615.62  1.01793
 4  -3614.66  0.948555
 5  -3613.16  0.927273
 6  -3620.48  0.910188
 7  -3615.39  0.881617
 8  -3615.94  0.865969
 9  -3622.06  0.87422
 10  -3625.87  0.849107
 11  -0  0
 12  -3618.39  0.872065
 13  -3617.76  0.842545
 14  -3623.58  0.848634
 15  -3620.28  0.957992
 16  -3615.87  0.977553
# Time unit: 100 ps
