# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -8462.75  3.81242
 2  -8482.43  1.26323
 3  -8454.24  1.17596
 4  -8508.44  1.11871
 5  -8336.96  0.97662
 6  -8382.11  0.942464
 7  -8326.59  0.949608
 8  -8368.37  0.950661
 9  -0  0
 10  -8377.55  0.979514
 11  -8342.15  1.03805
 12  -8415.74  1.08307
 13  -8360.09  1.14663
 14  -8417.92  1.17959
 15  -8416.12  1.34156
 16  -8375.11  1.76789
# Time unit: 100 ps
