# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -3655.03  0.862608
 2  -3660.41  0.821212
 3  -3664.11  0.779187
 4  -3658.58  0.744839
 5  -3662.78  0.700735
 6  -3665.71  0.683215
 7  -3666.42  0.680771
 8  -3663.68  0.671385
 9  -3671.98  0.679101
 10  -3678.39  0.690121
 11  -3671.98  0.695619
 12  -3671.46  0.714049
 13  -3670.74  0.72996
 14  -3676.58  0.774028
 15  -3667.8  0.79174
 16  -3665.95  0.842812
# Time unit: 100 ps
