# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -3593.75  1.25925
 2  -3613.5  1.23613
 3  -3638.64  1.19821
 4  -3619.66  1.14188
 5  -3620.23  1.10431
 6  -3635.42  1.20401
 7  -3618.25  1.02113
 8  -3626.09  0.982929
 9  -3640.1  0.950678
 10  -3641.49  0.913385
 11  -3635.86  0.925802
 12  -3629.11  0.927459
 13  -3630.73  0.90394
 14  -3639.94  0.945611
 15  -3623.43  0.939775
 16  -3614.44  0.915494
# Time unit: 100 ps
