# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -8150.23  0.834651
 2  -8168.67  0.777342
 3  -8130.14  0.755678
 4  -8150.11  0.713055
 5  -8186.82  0.684273
 6  -8114.51  0.687247
 7  -8149.34  0.655562
 8  -8094.71  0.672264
 9  -8097.82  0.667063
 10  -8114.21  0.670297
 11  -8109.73  0.686068
 12  -8106.59  0.710245
 13  -8145.61  0.703125
 14  -8170.51  0.722658
 15  -8102.14  0.780504
 16  -8094.63  0.804609
# Time unit: 100 ps
