# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -3678.66  0.849551
 2  -3679.85  0.809651
 3  -3680.63  0.784079
 4  -3671.37  0.716796
 5  -3683.07  0.748698
 6  -3679.66  0.712649
 7  -3684.75  0.710618
 8  -3685.57  0.656658
 9  -0  0
 10  -3698.84  0.627669
 11  -3692.69  0.747551
 12  -3690.84  0.785468
 13  -3691.56  0.838819
 14  -3691.33  0.819939
 15  -3684.79  0.84592
 16  -3686.13  0.942428
# Time unit: 100 ps
