# Alignment file for: Det1 front 0-16
# Ref channel: Det1 front 1
# strip  shift  std
 1  -0  0
 2  -8306.04  1.10384
 3  -8333.31  1.21856
 4  -8297.02  1.15779
 5  -8315.45  1.16406
 6  -8334.43  1.02986
 7  -8329.89  1.06466
 8  -8373.56  0.958402
 9  -8355.93  0.978128
 10  -8358.24  1.00246
 11  -8339.94  0.946768
 12  -8408.36  1.08127
 13  -8337.27  1.01278
 14  -8387.11  1.05584
 15  -8334.23  1.08329
 16  -0  0
# Time unit: 100 ps
